_id,code,ref,description,category,subcategory,unit,rate,keywords
4dec1255-8ab4-47c4-98c8-7ad542a0f88b,31915_44e3f914,__export__.product_product_31915_44e3f914,Steel drill bit - Wurth 155 piece set,Drill Bits & Tools,Steel Drill Bits,Unit,125,"steel; drill; bit; wurth; piece; set; drill bits & tools; bits; tools; steel drill bits; 31915_44e3f914"
5bd1c8a7-6b50-4261-afe6-1dd1cbf890ff,31916_3fff938f,__export__.product_product_31916_3fff938f,Steel drill bit - Wurth 19 piece set (1-10mm),Drill Bits & Tools,Steel Drill Bits,Unit,27.03,"steel; drill; bit; wurth; piece; set; 10mm; drill bits & tools; bits; tools; steel drill bits; 31916_3fff938f"
4ebdfaef-232b-4630-b3b4-3467e3700e57,31917_aad9a81a,__export__.product_product_31917_aad9a81a,Steel drill bit - Wurth 1.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.17,"steel; drill; bit; wurth; 1.0mm; drill bits & tools; bits; tools; steel drill bits; 31917_aad9a81a"
e9cffdd6-b733-4085-92da-642d41ceff0a,31918_1fabd019,__export__.product_product_31918_1fabd019,Steel drill bit - Wurth 2.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.9,"steel; drill; bit; wurth; 2.0mm; drill bits & tools; bits; tools; steel drill bits; 31918_1fabd019"
1eb1e932-a9b2-438a-8fd6-1256ef06133b,31919_030ddc5b,__export__.product_product_31919_030ddc5b,Steel drill bit - Wurth 3.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.78,"steel; drill; bit; wurth; 3.0mm; drill bits & tools; bits; tools; steel drill bits; 31919_030ddc5b"
e028df76-8f74-457a-888f-c8d537ee392d,31920_f56a2b9f,__export__.product_product_31920_f56a2b9f,Steel drill bit - Wurth 3.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.99,"steel; drill; bit; wurth; 3.5mm; drill bits & tools; bits; tools; steel drill bits; 31920_f56a2b9f"
0f5077b6-829e-4880-99b0-5de842e18bf7,31921_f306a193,__export__.product_product_31921_f306a193,Steel drill bit - Wurth 4.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.41,"steel; drill; bit; wurth; 4.0mm; drill bits & tools; bits; tools; steel drill bits; 31921_f306a193"
ad0cef72-008f-4444-ba7a-29700478728c,31922_ba624fc3,__export__.product_product_31922_ba624fc3,Steel drill bit - Wurth 4.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.54,"steel; drill; bit; wurth; 4.5mm; drill bits & tools; bits; tools; steel drill bits; 31922_ba624fc3"
a545bcbf-f1eb-4ab3-817f-b69ced4a31cd,31923_d55cdd07,__export__.product_product_31923_d55cdd07,Steel drill bit - Wurth 5.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.4,"steel; drill; bit; wurth; 5.0mm; drill bits & tools; bits; tools; steel drill bits; 31923_d55cdd07"
a1c13157-fc0b-4ee9-98b0-69d7467e46cf,31924_affaa5a6,__export__.product_product_31924_affaa5a6,Steel drill bit - Wurth 5.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.84,"steel; drill; bit; wurth; 5.5mm; drill bits & tools; bits; tools; steel drill bits; 31924_affaa5a6"
b8d39473-af7b-4c8a-be18-09066019b736,31925_adaf9da3,__export__.product_product_31925_adaf9da3,Steel drill bit - Wurth 6.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.6,"steel; drill; bit; wurth; 6.0mm; drill bits & tools; bits; tools; steel drill bits; 31925_adaf9da3"
28ec91e9-2bc0-4907-99a6-20c1a9d8da76,31926_2e66ecf8,__export__.product_product_31926_2e66ecf8,Steel drill bit - Wurth 6.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,2.97,"steel; drill; bit; wurth; 6.5mm; drill bits & tools; bits; tools; steel drill bits; 31926_2e66ecf8"
99692bd5-4cdf-421b-aeb4-8a145dc49b64,31927_ec9a5b30,__export__.product_product_31927_ec9a5b30,Steel drill bit - Wurth 7.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,3.39,"steel; drill; bit; wurth; 7.0mm; drill bits & tools; bits; tools; steel drill bits; 31927_ec9a5b30"
54f86693-14aa-4479-b29e-9384384d1b4a,31928_17b90e4a,__export__.product_product_31928_17b90e4a,Steel drill bit - Wurth 7.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,2.83,"steel; drill; bit; wurth; 7.5mm; drill bits & tools; bits; tools; steel drill bits; 31928_17b90e4a"
0c7ae4ef-198b-48a6-a54e-257f783e6531,31929_488fe91b,__export__.product_product_31929_488fe91b,Steel drill bit - Wurth 8.00mm,Drill Bits & Tools,Steel Drill Bits,Unit,2.4,"steel; drill; bit; wurth; 8.00mm; drill bits & tools; bits; tools; steel drill bits; 31929_488fe91b"
bd2e5c5b-1d4a-4c1b-a72e-02b2f2107d38,31998_33dbf76b,__export__.product_product_31998_33dbf76b,Steel drill bit - Wurth 8.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,1,"steel; drill; bit; wurth; 8.0mm; drill bits & tools; bits; tools; steel drill bits; 31998_33dbf76b"
d10c2c3f-4d61-49c6-8fd7-ea19416ed562,31930_fd0ffe91,__export__.product_product_31930_fd0ffe91,Steel drill bit - Wurth 8.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,4.01,"steel; drill; bit; wurth; 8.5mm; drill bits & tools; bits; tools; steel drill bits; 31930_fd0ffe91"
d3838932-dba3-4c3a-b4b3-404aad5b7912,31931_874c98d4,__export__.product_product_31931_874c98d4,Steel drill bit - Wurth 9.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,3.2,"steel; drill; bit; wurth; 9.0mm; drill bits & tools; bits; tools; steel drill bits; 31931_874c98d4"
73f28b38-3c23-4e6a-af0f-f57fea215fc3,31932_016bf7f8,__export__.product_product_31932_016bf7f8,Steel drill bit - Wurth 9.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,5.01,"steel; drill; bit; wurth; 9.5mm; drill bits & tools; bits; tools; steel drill bits; 31932_016bf7f8"
cbcb56c9-dae5-4756-bcbf-bdb9ba19ef71,31933_f2b807ad,__export__.product_product_31933_f2b807ad,Steel drill bit - Wurth 11.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,7.53,"steel; drill; bit; wurth; 11.0mm; drill bits & tools; bits; tools; steel drill bits; 31933_f2b807ad"
dae4ccee-63f9-4989-ad45-58ca0face591,31934_39bebf0e,__export__.product_product_31934_39bebf0e,Steel drill bit - Wurth 12mm,Drill Bits & Tools,Steel Drill Bits,Unit,7.7,"steel; drill; bit; wurth; 12mm; drill bits & tools; bits; tools; steel drill bits; 31934_39bebf0e"
ec9695ad-825b-4237-9065-ed432aa8049e,31935_23a2fd5b,__export__.product_product_31935_23a2fd5b,Steel drill bit - Wurth 13.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,9,"steel; drill; bit; wurth; 13.0mm; drill bits & tools; bits; tools; steel drill bits; 31935_23a2fd5b"
