_id,code,ref,description,category,subcategory,unit,rate,keywords
3e426ec0-5cce-4dc3-b9dd-6157f28906b8,31915_44e3f914,__export__.product_product_31915_44e3f914,Steel drill bit - Wurth 155 piece set,Drill Bits & Tools,Steel Drill Bits,Unit,125,steel; drill; bit; wurth; 155; piece; set; drill bits & tools; steel drill bits; 31915_44e3f914
5ddb81e6-62e0-4d43-a39d-a413843e632e,31916_3fff938f,__export__.product_product_31916_3fff938f,Steel drill bit - Wurth 19 piece set (1-10mm),Drill Bits & Tools,Steel Drill Bits,Unit,27.03,steel; drill; bit; wurth; piece; set; 10mm); drill bits & tools; steel drill bits; 31916_3fff938f
1a8211c8-a67b-4434-ac3d-7ea86dc00d3f,31917_aad9a81a,__export__.product_product_31917_aad9a81a,Steel drill bit - Wurth 1.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.17,steel; drill; bit; wurth; 1.0mm; drill bits & tools; steel drill bits; 31917_aad9a81a
cc1a1aa8-c68d-4877-85ae-095b7ae68054,31918_1fabd019,__export__.product_product_31918_1fabd019,Steel drill bit - Wurth 2.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.9,steel; drill; bit; wurth; 2.0mm; drill bits & tools; steel drill bits; 31918_1fabd019
63b0d049-f39b-4866-92f6-dc5096e93b1e,31919_030ddc5b,__export__.product_product_31919_030ddc5b,Steel drill bit - Wurth 3.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.78,steel; drill; bit; wurth; 3.0mm; drill bits & tools; steel drill bits; 31919_030ddc5b
8c57a242-b42f-43bd-b3aa-71790d4f828e,31920_f56a2b9f,__export__.product_product_31920_f56a2b9f,Steel drill bit - Wurth 3.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.99,steel; drill; bit; wurth; 3.5mm; drill bits & tools; steel drill bits; 31920_f56a2b9f
4f844842-2595-4317-8eb3-621b5ac67939,31921_f306a193,__export__.product_product_31921_f306a193,Steel drill bit - Wurth 4.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.41,steel; drill; bit; wurth; 4.0mm; drill bits & tools; steel drill bits; 31921_f306a193
cfbf8e7d-efa3-4b27-aa66-9506baadfb32,31922_ba624fc3,__export__.product_product_31922_ba624fc3,Steel drill bit - Wurth 4.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.54,steel; drill; bit; wurth; 4.5mm; drill bits & tools; steel drill bits; 31922_ba624fc3
d9da3ebd-5e07-4aaa-9b81-2e28591278fa,31923_d55cdd07,__export__.product_product_31923_d55cdd07,Steel drill bit - Wurth 5.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.4,steel; drill; bit; wurth; 5.0mm; drill bits & tools; steel drill bits; 31923_d55cdd07
2ae7034c-8111-4ac3-82b8-304fb018c17b,31924_affaa5a6,__export__.product_product_31924_affaa5a6,Steel drill bit - Wurth 5.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.84,steel; drill; bit; wurth; 5.5mm; drill bits & tools; steel drill bits; 31924_affaa5a6
