code,description,category,subcategory,unit,rate,brand,keywords
31915_44e3f914,Steel drill bit - Wurth 155 piece set,Drill Bits & Tools,Steel Drill Bits,Unit,125,Wurth,steel; drill; bit; wurth; 155; piece; set; drill bits & tools; steel drill bits; 31915_44e3f914
31916_3fff938f,Steel drill bit - Wurth 19 piece set (1-10mm),Drill Bits & Tools,Steel Drill Bits,Unit,27.03,Wurth,steel; drill; bit; wurth; piece; set; 10mm); drill bits & tools; steel drill bits; 31916_3fff938f
31917_aad9a81a,Steel drill bit - Wurth 1.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.17,Wurth,steel; drill; bit; wurth; 1.0mm; drill bits & tools; steel drill bits; 31917_aad9a81a
31918_1fabd019,Steel drill bit - Wurth 2.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.9,Wurth,steel; drill; bit; wurth; 2.0mm; drill bits & tools; steel drill bits; 31918_1fabd019
31919_030ddc5b,Steel drill bit - Wurth 3.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.78,Wurth,steel; drill; bit; wurth; 3.0mm; drill bits & tools; steel drill bits; 31919_030ddc5b
31920_f56a2b9f,Steel drill bit - Wurth 3.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,0.99,Wurth,steel; drill; bit; wurth; 3.5mm; drill bits & tools; steel drill bits; 31920_f56a2b9f
31921_f306a193,Steel drill bit - Wurth 4.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.41,Wurth,steel; drill; bit; wurth; 4.0mm; drill bits & tools; steel drill bits; 31921_f306a193
31922_ba624fc3,Steel drill bit - Wurth 4.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.54,Wurth,steel; drill; bit; wurth; 4.5mm; drill bits & tools; steel drill bits; 31922_ba624fc3
31923_d55cdd07,Steel drill bit - Wurth 5.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.4,Wurth,steel; drill; bit; wurth; 5.0mm; drill bits & tools; steel drill bits; 31923_d55cdd07
31924_affaa5a6,Steel drill bit - Wurth 5.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.84,Wurth,steel; drill; bit; wurth; 5.5mm; drill bits & tools; steel drill bits; 31924_affaa5a6
31925_adaf9da3,Steel drill bit - Wurth 6.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,1.6,Wurth,steel; drill; bit; wurth; 6.0mm; drill bits & tools; steel drill bits; 31925_adaf9da3
31926_2e66ecf8,Steel drill bit - Wurth 6.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,2.97,Wurth,steel; drill; bit; wurth; 6.5mm; drill bits & tools; steel drill bits; 31926_2e66ecf8
31927_ec9a5b30,Steel drill bit - Wurth 7.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,3.39,Wurth,steel; drill; bit; wurth; 7.0mm; drill bits & tools; steel drill bits; 31927_ec9a5b30
31928_17b90e4a,Steel drill bit - Wurth 7.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,2.83,Wurth,steel; drill; bit; wurth; 7.5mm; drill bits & tools; steel drill bits; 31928_17b90e4a
31929_488fe91b,Steel drill bit - Wurth 8.00mm,Drill Bits & Tools,Steel Drill Bits,Unit,2.4,Wurth,steel; drill; bit; wurth; 8.00mm; drill bits & tools; steel drill bits; 31929_488fe91b
31998_33dbf76b,Steel drill bit - Wurth 8.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,,Wurth,steel; drill; bit; wurth; 8.0mm; drill bits & tools; steel drill bits; 31998_33dbf76b
31930_fd0ffe91,Steel drill bit - Wurth 8.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,4.01,Wurth,steel; drill; bit; wurth; 8.5mm; drill bits & tools; steel drill bits; 31930_fd0ffe91
31931_874c98d4,Steel drill bit - Wurth 9.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,3.2,Wurth,steel; drill; bit; wurth; 9.0mm; drill bits & tools; steel drill bits; 31931_874c98d4
31932_016bf7f8,Steel drill bit - Wurth 9.5mm,Drill Bits & Tools,Steel Drill Bits,Unit,5.01,Wurth,steel; drill; bit; wurth; 9.5mm; drill bits & tools; steel drill bits; 31932_016bf7f8
31933_f2b807ad,Steel drill bit - Wurth 11.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,7.53,Wurth,steel; drill; bit; wurth; 11.0mm; drill bits & tools; steel drill bits; 31933_f2b807ad
31934_39bebf0e,Steel drill bit - Wurth 12mm,Drill Bits & Tools,Steel Drill Bits,Unit,7.7,Wurth,steel; drill; bit; wurth; 12mm; drill bits & tools; steel drill bits; 31934_39bebf0e
31935_23a2fd5b,Steel drill bit - Wurth 13.0mm,Drill Bits & Tools,Steel Drill Bits,Unit,9,Wurth,steel; drill; bit; wurth; 13.0mm; drill bits & tools; steel drill bits; 31935_23a2fd5b
35759_543ffc32,Steel drill bit - Rawlplug 8.00mm,Drill Bits & Tools,Steel Drill Bits,Unit,3.07,,steel; drill; bit; rawlplug; 8.00mm; drill bits & tools; steel drill bits; 35759_543ffc32
